resolution,split,model,threshold,evaluated_samples,path_found_rate,success_rate_collision_free,unsafe_found_rate,collision_rate_among_found,planning_safety_utility,mean_map_iou,mean_collision_fraction_found,mean_path_false_positive_fraction_found,mean_inference_ms,mean_planning_ms
128,test,rgbd_concat_baseline,0.65,508,0.36811023622047245,0.22244094488188976,0.14566929133858267,0.39572192513368987,0.07677165354330706,0.558850210381357,0.05826510350129412,0.05826510350129412,5.086085825790028,0.546751769835232
128,test,rgbd_concat_baseline,0.7,508,0.3248031496062992,0.20669291338582677,0.11811023622047244,0.36363636363636365,0.08858267716535434,0.552819235964389,0.047458907429730246,0.047458907429730246,5.086085825790028,0.42035256023885403
128,test,rgbd_concat_baseline,0.75,508,0.21850393700787402,0.12007874015748031,0.0984251968503937,0.45045045045045046,0.021653543307086603,0.5431665141181338,0.05605787406602162,0.05605787406602162,5.086085825790028,0.24782480350255556
128,test,semantic_clean,0.05,508,0.8051181102362205,0.43700787401574803,0.36811023622047245,0.4572127139364303,0.06889763779527558,0.607524672467319,0.10830999509557877,0.10830999509557877,8.32640472134964,1.7446169300155172
128,test,semantic_clean,0.1,508,0.5413385826771654,0.33267716535433073,0.20866141732283464,0.38545454545454544,0.12401574803149606,0.6496110884190686,0.06969889676946829,0.06969889676946829,8.32640472134964,0.9695281470322791
128,test,semantic_clean,0.15,508,0.5236220472440944,0.33070866141732286,0.19291338582677164,0.3684210526315789,0.13779527559055127,0.6524842237307257,0.05925568575453671,0.05925568575453671,8.32640472134964,0.881877950324831
128,test,semantic_clean,0.2,508,0.5059055118110236,0.3248031496062992,0.18110236220472442,0.35797665369649806,0.14370078740157477,0.653481042650125,0.04652961532993082,0.04652961532993082,8.32640472134964,0.8317021631056399
128,test,semantic_clean,0.25,508,0.49015748031496065,0.3228346456692913,0.1673228346456693,0.3413654618473896,0.155511811023622,0.6537677093257044,0.04083381190081739,0.04083381190081739,8.32640472134964,0.8140728315320159
128,test,semantic_clean,0.3,508,0.4625984251968504,0.31299212598425197,0.14960629921259844,0.32340425531914896,0.16338582677165353,0.6533907106272965,0.03448026808943397,0.03448026808943397,8.32640472134964,0.7892080709176856
128,test,semantic_clean,0.35,508,0.452755905511811,0.31496062992125984,0.1377952755905512,0.30434782608695654,0.17716535433070868,0.6523965695921508,0.02641885060577063,0.02641885060577063,8.32640472134964,0.7689551174856987
128,test,semantic_clean,0.4,508,0.42913385826771655,0.31299212598425197,0.11614173228346457,0.2706422018348624,0.19685039370078738,0.6499551182752157,0.019736820820431294,0.019736820820431294,8.32640472134964,0.7290653568164511
128,test,semantic_clean,0.45,508,0.4015748031496063,0.2952755905511811,0.1062992125984252,0.2647058823529412,0.18897637795275585,0.6436912309637978,0.019181595491289897,0.019181595491289897,8.32640472134964,0.6677094472509875
128,test,semantic_clean,0.5,508,0.3700787401574803,0.27755905511811024,0.09251968503937008,0.25,0.18503937007874016,0.6268198721948907,0.013636718494721251,0.013636718494721251,8.32640472134964,0.6194082691469853
128,test,semantic_clean,0.55,508,0.33661417322834647,0.2637795275590551,0.07283464566929133,0.21637426900584794,0.19094488188976372,0.620079109509452,0.012058528069770353,0.012058528069770353,8.32640472134964,0.4550015739913238
128,test,semantic_clean,0.6,508,0.3031496062992126,0.23818897637795275,0.06496062992125984,0.21428571428571427,0.17322834645669288,0.6133723335197105,0.013771133938781642,0.013771133938781642,8.32640472134964,0.42426082998602177
128,test,semantic_clean,0.65,508,0.234251968503937,0.17913385826771652,0.05511811023622047,0.23529411764705882,0.12401574803149604,0.6052903069502508,0.012492822282732121,0.012492822282732121,8.32640472134964,0.2866381894811753
